RDA element,Toolkit URL (English)
rdaw:P10237,https://access.rdatoolkit.org/en-US_ala-04934c42-fed5-315a-b397-91e03fd43a22
rdae:P20502,https://access.rdatoolkit.org/en-US_ala-04aad4b4-3fbd-3d4a-9daa-d58fc3d3eb24
rdae:P20553,https://access.rdatoolkit.org/en-US_ala-04adf509-05b8-3523-9582-e8d0fce95447
rdae:P20214,https://access.rdatoolkit.org/en-US_ala-04e1ab9d-f78a-38b1-877b-f6e8670f49a3
rdam:P30014,https://access.rdatoolkit.org/en-US_ala-04e52191-96ac-3870-ac6a-de37540f45f5
rdaa:P50351,https://access.rdatoolkit.org/en-US_ala-04e6460e-365d-3011-8a7e-103d22938ed5
rdae:P20074,https://access.rdatoolkit.org/en-US_ala-04ecb631-2198-3f89-83d2-45772b8cf3b2
rdam:P30442,https://access.rdatoolkit.org/en-US_ala-0509c49f-f60d-3d4b-97d7-48547ec05601
rdaa:P50614,https://access.rdatoolkit.org/en-US_ala-052051de-6410-349f-acbf-fc22fe71d833
rdaa:P50816,https://access.rdatoolkit.org/en-US_ala-05311d9a-4dee-33ca-b7af-8a260b5855ed
rdaw:P10342,https://access.rdatoolkit.org/en-US_ala-053d9c09-631e-373f-b852-3640c55a9e00
rdam:P30437,https://access.rdatoolkit.org/en-US_ala-054f27ae-269a-34e6-af77-ec93c7d2f9de
rdaw:P10372,https://access.rdatoolkit.org/en-US_ala-05569750-6a01-3405-96f8-49e51acb37c4
rdam:P30256,https://access.rdatoolkit.org/en-US_ala-0565b74a-821c-3e48-b3c1-aa95829672a0
rdaa:P50836,https://access.rdatoolkit.org/en-US_ala-0567b37c-a810-3658-b597-1d98c1ffefc3
rdae:P20151,https://access.rdatoolkit.org/en-US_ala-056c46ca-4c13-30da-8d53-2028aa4ab094
rdae:P20420,https://access.rdatoolkit.org/en-US_ala-058c82ce-39c4-3884-a467-d33bfa91c21e
rdan:P80178,https://access.rdatoolkit.org/en-US_ala-059c2ce5-4fec-34f6-bd29-7a076184c780
rdae:P20353,https://access.rdatoolkit.org/en-US_ala-06004b56-79b9-3802-a140-24d1fe3d282a
rdaw:P10535,https://access.rdatoolkit.org/en-US_ala-060d11d7-30c9-3794-8e0f-27df3ccd7a5e
rdaw:P10024,https://access.rdatoolkit.org/en-US_ala-0633d7f5-d9f3-382b-a299-50b51d77717e
rdaa:P50241,https://access.rdatoolkit.org/en-US_ala-06350d2c-d5bb-33c4-9e03-1845e0f96490
rdaa:P50644,https://access.rdatoolkit.org/en-US_ala-063714b9-ea2c-37b1-9535-fe63a334efd0
rdae:P20375,https://access.rdatoolkit.org/en-US_ala-063b006d-4ff6-3dd3-ac5a-a20840108222
rdae:P20142,https://access.rdatoolkit.org/en-US_ala-0664e26a-5922-350b-8679-e3c639d1018d
rdat:P70001,https://access.rdatoolkit.org/en-US_ala-068b41de-222b-3aea-a99b-d2617bedfde5
rdaa:P50617,https://access.rdatoolkit.org/en-US_ala-069e6c78-f635-3643-b1a5-c43f374968a3
rdan:P80129,https://access.rdatoolkit.org/en-US_ala-06af8d92-bf84-35a8-a536-efe471774813
rdaa:P50547,https://access.rdatoolkit.org/en-US_ala-06b6158c-3247-3552-90fc-f1a5e833ae84
rdaa:P51065,https://access.rdatoolkit.org/en-US_ala-070d291a-0017-3886-836a-13753884e8d1
rdam:P30196,https://access.rdatoolkit.org/en-US_ala-073d441a-8a45-36a9-9619-e40234a3f322
rdan:P80059,https://access.rdatoolkit.org/en-US_ala-077bd990-105b-3700-8d4c-dd2b57dbe6dc
rdae:P20017,https://access.rdatoolkit.org/en-US_ala-078dc003-4a07-38d7-ac53-33e4600508a8
rdam:P30273,https://access.rdatoolkit.org/en-US_ala-07aa8cd8-f4a9-3b6d-bc31-354c3f829afb
rdae:P20172,https://access.rdatoolkit.org/en-US_ala-07e9c663-c832-3e5d-9f83-e2b00f9769fa
rdai:P40005,https://access.rdatoolkit.org/en-US_ala-07ebed08-1fd8-3c29-a383-441c9f63e9b7
rdaw:P10243,https://access.rdatoolkit.org/en-US_ala-07f3cd3e-2a24-335d-96ee-2cbf2b9aa847
rdan:P80082,https://access.rdatoolkit.org/en-US_ala-07f3ff75-b3d4-3382-9beb-5a3f8b813861
rdae:P20511,https://access.rdatoolkit.org/en-US_ala-080314dc-b085-3dc2-8b2a-40121b09d88f
rdaa:P50552,https://access.rdatoolkit.org/en-US_ala-0803ea00-7567-3808-a87b-9fd3fc7d8c5d
rdaa:P50350,https://access.rdatoolkit.org/en-US_ala-081e2eb0-35cb-3298-b69d-456d1f43aea4
rdaa:P50972,https://access.rdatoolkit.org/en-US_ala-0820e5f6-aa2a-39d8-9b2f-c0532561039f
rdaa:P50085,https://access.rdatoolkit.org/en-US_ala-0828c604-0a1c-3ac8-8bfc-69d483be9319
rdae:P20086,https://access.rdatoolkit.org/en-US_ala-083039f2-6e53-3a26-9e02-110d21e95dfa
rdaa:P50330,https://access.rdatoolkit.org/en-US_ala-084eb519-08cf-3e8e-a4ab-cde18ab6c701
rdaw:P10123,https://access.rdatoolkit.org/en-US_ala-08611cf1-be16-3f0c-afac-561cb427e06f
rdae:P20053,https://access.rdatoolkit.org/en-US_ala-08699d76-022a-3473-94ae-f56f5fe45b1b
rdaw:P10331,https://access.rdatoolkit.org/en-US_ala-086aad00-3bd2-3cc1-8dd0-52a5353b227b
rdaa:P50117,https://access.rdatoolkit.org/en-US_ala-08a3dcc9-4cb0-355c-bf4f-adae2c63e5f6
rdaw:P10060,https://access.rdatoolkit.org/en-US_ala-08ada632-7c08-3d38-b8e3-e0a4b9394f90
rdai:P40100,https://access.rdatoolkit.org/en-US_ala-08effdb7-bad2-35b8-a5c7-739472e12a31
rdae:P20122,https://access.rdatoolkit.org/en-US_ala-08f3fced-a85e-3aa7-9bd2-17d542e79b7b
rdae:P20376,https://access.rdatoolkit.org/en-US_ala-091b78f3-09f5-30a7-8767-2babbcd0bfbf
rdam:P30066,https://access.rdatoolkit.org/en-US_ala-092434e2-e754-3005-a599-51357de31c98
rdai:P40003,https://access.rdatoolkit.org/en-US_ala-0933d5b6-bbe5-3c50-87cb-5a54df6d2580
rdaa:P50347,https://access.rdatoolkit.org/en-US_ala-0943bf63-d42d-326e-a2cb-653498a57bda
rdae:P20101,https://access.rdatoolkit.org/en-US_ala-0949cc4c-4b2c-3c33-84b0-17efb4544938
rdaa:P50522,https://access.rdatoolkit.org/en-US_ala-0958ec15-fd39-3b60-9379-984da25470b0
rdaa:P50353,https://access.rdatoolkit.org/en-US_ala-099e7546-b4f8-31d0-9a1d-fed31ac4c916
rdaa:P50313,https://access.rdatoolkit.org/en-US_ala-09b34a76-1c6d-38d5-a026-4302f4146bc4
rdae:P20280,https://access.rdatoolkit.org/en-US_ala-09b8dea2-e8b8-3eb0-916b-6288bf872c7c
rdaa:P50584,https://access.rdatoolkit.org/en-US_ala-09c0166d-ffbe-336e-913c-8e8190084c12
rdaw:P10056,https://access.rdatoolkit.org/en-US_ala-09efa4fc-9b32-3f33-a617-f20e07187dd6
rdae:P20102,https://access.rdatoolkit.org/en-US_ala-0a06760e-4adc-308e-906a-7955fc5a9903
rdam:P30306,https://access.rdatoolkit.org/en-US_ala-0a31ceb3-1ad5-3c18-a823-11a078f2c70b
rdaw:P10538,https://access.rdatoolkit.org/en-US_ala-0a366ca5-829d-3ca5-8fd5-5e84429500f3
rdaa:P50924,https://access.rdatoolkit.org/en-US_ala-0a52d91a-9b4e-31b9-9a55-86ecd074de3e
rdaa:P50401,https://access.rdatoolkit.org/en-US_ala-0a97029f-caaa-3c69-b842-e76e7e748854
rdaw:P10458,https://access.rdatoolkit.org/en-US_ala-0a9b3a91-3ceb-3822-805f-fa98b693b829
rdaa:P50683,https://access.rdatoolkit.org/en-US_ala-0aad9e06-45d6-34ff-be64-78c3928f0e6a
rdam:P30116,https://access.rdatoolkit.org/en-US_ala-0ab0204b-abfd-34af-add7-1857d6147b10
rdae:P20378,https://access.rdatoolkit.org/en-US_ala-0ac36c46-6767-38c4-8e90-ed834cbef73f
rdaa:P51059,https://access.rdatoolkit.org/en-US_ala-0b4f869d-8faa-358a-a502-a638ffe4d2b9
rdam:P30067,https://access.rdatoolkit.org/en-US_ala-0b7c01ac-429e-3b23-bc42-df07b9483502
rdai:P40148,https://access.rdatoolkit.org/en-US_ala-0b8390f2-38ce-35be-a966-b9c4efcaa8ba
rdaw:P10015,https://access.rdatoolkit.org/en-US_ala-0b89d678-965b-392c-a7d1-4d65c3aa5eb8
rdaa:P50849,https://access.rdatoolkit.org/en-US_ala-0b8a4b4d-7d87-3b0c-ac29-551da3a10da6
rdaa:P50183,https://access.rdatoolkit.org/en-US_ala-0bce6994-2ebc-3b0c-9b2b-effaad60b7e6
rdaa:P50379,https://access.rdatoolkit.org/en-US_ala-0bed8d77-ad71-35e9-893a-eb68fea8a033
rdaa:P50448,https://access.rdatoolkit.org/en-US_ala-0c10556c-54a6-3126-b967-0f87962bd109
rdae:P20472,https://access.rdatoolkit.org/en-US_ala-0c2ba4e1-427e-37c0-86dd-6f2d3261ab87
rdaa:P51092,https://access.rdatoolkit.org/en-US_ala-0c316fed-eb30-33a1-816d-a9a9f0922992
rdai:P40146,https://access.rdatoolkit.org/en-US_ala-0c3a314e-550c-339e-94e2-b83516e8bf85
rdaw:P10067,https://access.rdatoolkit.org/en-US_ala-0c4885b5-28f3-3581-8e53-7c7e12bdc459
rdat:P70043,https://access.rdatoolkit.org/en-US_ala-0c53bf2b-5189-3cd3-b51a-b8a49d5505a4
rdaa:P51089,https://access.rdatoolkit.org/en-US_ala-0c5465df-0424-3c70-be51-d70dff029a62
rdaw:P10091,https://access.rdatoolkit.org/en-US_ala-0c937214-48ac-33cb-b1f3-c4b6cc1d253a
rdam:P30038,https://access.rdatoolkit.org/en-US_ala-0c96bf50-cb2c-32ed-a67e-f05576ab0b3e
rdam:P30091,https://access.rdatoolkit.org/en-US_ala-0c985384-49ca-3099-aef5-f9669db21c55
rdae:P20564,https://access.rdatoolkit.org/en-US_ala-0ca5ba90-8cb4-3b23-ba66-0ee439740c0c
rdax:P00025,https://access.rdatoolkit.org/en-US_ala-0cbad178-aa6f-3384-8272-f1040e7583bf
rdaa:P50974,https://access.rdatoolkit.org/en-US_ala-0ccb417e-7677-3014-b130-d1f5aa82d6a1
rdaa:P50688,https://access.rdatoolkit.org/en-US_ala-0cd7c29d-4554-38ef-87e5-0b278cde10c8
rdaa:P50433,https://access.rdatoolkit.org/en-US_ala-0cdc6df1-015d-3b70-8e4b-0dc213a9d166
rdaa:P50402,https://access.rdatoolkit.org/en-US_ala-0d29bf3e-9759-31b6-9891-e1a977dd9075
rdaa:P50253,https://access.rdatoolkit.org/en-US_ala-0d605cf5-e3e6-3549-b5ee-c4ba36c5cdc6
rdaa:P50261,https://access.rdatoolkit.org/en-US_ala-0d707a95-5857-30b9-87f1-7a99d7c0c706
rdam:P30220,https://access.rdatoolkit.org/en-US_ala-0d73fe3e-b32a-3a72-8b86-199cc99db5fa
rdaa:P50236,https://access.rdatoolkit.org/en-US_ala-0d915e90-debd-319e-908a-43ded5362989
rdai:P40010,https://access.rdatoolkit.org/en-US_ala-0dc4d724-4898-34e3-94d2-4cbb44f77776
rdaa:P50025,https://access.rdatoolkit.org/en-US_ala-0dd2dd2e-0430-3667-a13f-c8c8de88656f
rdam:P30001,https://access.rdatoolkit.org/en-US_ala-0dd63c0d-066f-3ddc-885a-ff83c25cf752
rdaa:P50860,https://access.rdatoolkit.org/en-US_ala-0de01cdd-be6f-3343-aeea-0f44fffbb64c
rdaw:P10375,https://access.rdatoolkit.org/en-US_ala-0e10199d-0ae6-3a8f-9404-37116b19b40c
rdam:P30327,https://access.rdatoolkit.org/en-US_ala-0e27dec8-c1fe-3cfd-af40-857b72882cc0
rdaa:P50315,https://access.rdatoolkit.org/en-US_ala-0e51b21c-908f-3f46-aff5-eb668e6f9d4f
rdae:P20310,https://access.rdatoolkit.org/en-US_ala-0eb21eb3-a2b4-3f0c-b76f-7df760946aad
rdaw:P10273,https://access.rdatoolkit.org/en-US_ala-0ec6dcab-e507-3740-bbb9-ef8d01cf859d
rdaa:P50556,https://access.rdatoolkit.org/en-US_ala-0ec9d20e-dced-35c6-9b58-71532554c9bc
rdae:P20384,https://access.rdatoolkit.org/en-US_ala-0f689d95-47df-32c7-846d-a9089122805e
rdaw:P10390,https://access.rdatoolkit.org/en-US_ala-0f6c255d-1545-3bf3-bb62-186eb7ceb4e9
rdam:P30111,https://access.rdatoolkit.org/en-US_ala-0f7b5665-dec5-371a-8b7b-d49f1c5080a7
rdae:P20517,https://access.rdatoolkit.org/en-US_ala-0f9d024c-4615-3bf5-a754-19198d2a41e9
rdaa:P51107,https://access.rdatoolkit.org/en-US_ala-0fb0d0ca-1c34-3ead-a5fe-0b13750e1097
rdai:P40154,https://access.rdatoolkit.org/en-US_ala-0fc57908-f6ce-3554-bb13-ff1ea1ce2fe2
rdaa:P50569,https://access.rdatoolkit.org/en-US_ala-0fc5e2af-68e5-3993-85e7-82ae5d6c8fa4
rdat:P70033,https://access.rdatoolkit.org/en-US_ala-0fd6b629-d66a-39a4-85bc-a76eaa495f6f
rdaa:P50515,https://access.rdatoolkit.org/en-US_ala-0fe4719c-15d4-3f30-aac7-474837b6ddc8
rdae:P20458,https://access.rdatoolkit.org/en-US_ala-0ffa9321-9061-3ddb-b9f4-82b2da20cbff
rdat:P70021,https://access.rdatoolkit.org/en-US_ala-101c1d46-f355-30ad-9b31-ff6632f28569
rdaw:P10599,https://access.rdatoolkit.org/en-US_ala-102d8761-e9a1-3e03-9948-fe4f4c86f473
rdaw:P10255,https://access.rdatoolkit.org/en-US_ala-104e0e22-e2c2-3116-975a-865041797cb9
rdai:P40025,https://access.rdatoolkit.org/en-US_ala-1052ecdf-b180-31ad-8b56-fd245f445fc3
rdam:P30051,https://access.rdatoolkit.org/en-US_ala-1053ea75-d3d6-3649-ac43-721c73bb0614
rdaa:P50463,https://access.rdatoolkit.org/en-US_ala-10692722-25ed-3727-9dc9-8c2b45a3bf10
rdaa:P51008,https://access.rdatoolkit.org/en-US_ala-10696b36-1c34-306f-bb7d-7b6d7cf97412
rdaa:P51035,https://access.rdatoolkit.org/en-US_ala-1070657e-0121-34b5-b857-4c4eb1b10c4c
rdaw:P10502,https://access.rdatoolkit.org/en-US_ala-1087e4b5-315e-3118-80b2-6b5ccfeca2a8
rdaa:P50398,https://access.rdatoolkit.org/en-US_ala-10b2dbdd-8428-3fe3-ab5d-e5d771f8aac1
rdaa:P50169,https://access.rdatoolkit.org/en-US_ala-10bb3315-0265-30a8-b21e-77c11cfb0bc2
rdaa:P50636,https://access.rdatoolkit.org/en-US_ala-10cb4852-0e5d-38ab-a23e-2cf1823a2b8e
rdap:P70025,https://access.rdatoolkit.org/en-US_ala-10cd5e8f-cb1d-3be4-a123-eeccfa854329
rdam:P30164,https://access.rdatoolkit.org/en-US_ala-10dc2c71-10d3-30f6-976d-366cb528e3e8
rdaa:P50027,https://access.rdatoolkit.org/en-US_ala-11155970-a7fa-3096-9097-ab0c1f6dd9d1
rdaa:P50835,https://access.rdatoolkit.org/en-US_ala-1132848d-9b4b-3681-a427-be34ebfdfd70
rdae:P20023,https://access.rdatoolkit.org/en-US_ala-11342f56-41f8-357e-be97-060e23df205f
rdaw:P10552,https://access.rdatoolkit.org/en-US_ala-115cd6bd-f65f-3120-94b7-94527fb876f4
rdaw:P10563,https://access.rdatoolkit.org/en-US_ala-115db160-2a4b-34c9-80a9-679fb7b163da
rdaa:P50960,https://access.rdatoolkit.org/en-US_ala-117d0aa8-e5d1-30a7-926b-25d3e938a97e
rdap:P70053,https://access.rdatoolkit.org/en-US_ala-11820ff6-c04e-3af9-b98f-76b9e2602764
rdaa:P50354,https://access.rdatoolkit.org/en-US_ala-11b65e80-f3f7-39d0-a89f-cb8fb2351eeb
rdap:P70015,https://access.rdatoolkit.org/en-US_ala-11c64d2e-3ced-393c-9e63-ee2d3f28d089
rdam:P30003,https://access.rdatoolkit.org/en-US_ala-11f6e100-836f-3c70-9ab0-99714519a179
rdai:P40020,https://access.rdatoolkit.org/en-US_ala-12016b67-7727-3461-bb4f-b3ddd5495c34
rdaa:P50361,https://access.rdatoolkit.org/en-US_ala-1202b067-45ba-33b8-bfff-b3eef3d70cb2
rdaw:P10059,https://access.rdatoolkit.org/en-US_ala-120b4917-343d-3727-ac1e-8b94e68a2a6c
rdae:P20284,https://access.rdatoolkit.org/en-US_ala-122804b4-eae5-3a06-9973-f0585e426081
rdae:P20422,https://access.rdatoolkit.org/en-US_ala-122c7c9e-c245-3786-b67d-598d749c1f7d
rdaw:P10309,https://access.rdatoolkit.org/en-US_ala-123e0456-8c5f-3236-ba8a-155b8294a32c
rdaw:P10168,https://access.rdatoolkit.org/en-US_ala-124a5f96-e99b-303d-b619-35db39d578cf
rdam:P30272,https://access.rdatoolkit.org/en-US_ala-125eb55c-1dd0-31d1-a45b-2469dc36b400
rdae:P20207,https://access.rdatoolkit.org/en-US_ala-126a56dc-d07f-34bf-9e42-0bfa48a3e574
rdam:P30453,https://access.rdatoolkit.org/en-US_ala-126a56dc-d07f-34bf-9e42-0bfa48a3e574
rdaa:P50322,https://access.rdatoolkit.org/en-US_ala-12864494-e1da-36a7-baac-7f3267500385
rdaw:P10436,https://access.rdatoolkit.org/en-US_ala-12bd8c40-1a55-3b85-81fe-6362c2c9154b
rdaa:P50665,https://access.rdatoolkit.org/en-US_ala-12c4adbc-f7b1-33fd-ba21-b41658534bf0
rdan:P80108,https://access.rdatoolkit.org/en-US_ala-12c78718-cbd9-36c6-a049-79ebdf295d3b
rdaa:P50286,https://access.rdatoolkit.org/en-US_ala-12fc4c87-3437-312e-835c-bb290ac7aa22
rdam:P30375,https://access.rdatoolkit.org/en-US_ala-130e070c-b9a3-32d8-a725-3f64b1d54e61
rdaa:P50083,https://access.rdatoolkit.org/en-US_ala-131091b6-85f5-32ab-ae9b-f82f94aaa472
rdaa:P50684,https://access.rdatoolkit.org/en-US_ala-1321b119-4009-37b3-9ce7-d89c736bb8e5
rdaw:P10029,https://access.rdatoolkit.org/en-US_ala-13245108-3ee9-34b8-94b9-8f7c085f8be1
rdaa:P50937,https://access.rdatoolkit.org/en-US_ala-132bc9a0-813a-3452-985e-93681d8be325
rdaa:P50280,https://access.rdatoolkit.org/en-US_ala-135ae63d-fa8c-3186-a3a4-93641d6ba6af
rdaa:P50785,https://access.rdatoolkit.org/en-US_ala-1372e8b6-33c7-3307-83f9-d0892eb8c49d
rdaw:P10378,https://access.rdatoolkit.org/en-US_ala-1380ad2b-eff0-3d22-b53b-106a64d2d2c3
rdae:P20366,https://access.rdatoolkit.org/en-US_ala-138cc04d-babc-3dd2-8bc0-45f1f9ddbfb7
rdaw:P10081,https://access.rdatoolkit.org/en-US_ala-13a32c07-73ba-352a-afbe-7ddbd431ad79
rdae:P20325,https://access.rdatoolkit.org/en-US_ala-13af5cb6-2576-3e7e-9011-807e94dc97c9
rdaw:P10603,https://access.rdatoolkit.org/en-US_ala-13e2f0cd-fa65-31bb-8ee7-4e29c2a5843d
rdae:P20466,https://access.rdatoolkit.org/en-US_ala-1412b88f-efef-3be5-b45d-97d3b6424723
rdan:P80115,https://access.rdatoolkit.org/en-US_ala-143e341a-7f58-3afc-a4b6-d1e05e36c643
rdae:P20475,https://access.rdatoolkit.org/en-US_ala-144023b3-3eb1-31af-9d23-1d7db5ef743b
rdaw:P10305,https://access.rdatoolkit.org/en-US_ala-14942bdb-4856-367a-8486-d552bcbe8508
rdam:P30342,https://access.rdatoolkit.org/en-US_ala-14eacba5-90c1-394f-8d36-980635e31e75
rdaa:P50029,https://access.rdatoolkit.org/en-US_ala-14f9f849-5b8f-3c38-8d9f-55121c6cae05
rdaa:P50711,https://access.rdatoolkit.org/en-US_ala-150029ce-c659-3629-9a85-85ce65573abd
rdat:P70041,https://access.rdatoolkit.org/en-US_ala-1500adbf-1824-3640-ac2f-80644fa464f3
rdaa:P50721,https://access.rdatoolkit.org/en-US_ala-1503843e-455e-388f-8511-bf07f6925dfa
rdaa:P50080,https://access.rdatoolkit.org/en-US_ala-15107b0e-b50c-366f-8548-ecc13414bc37
rdae:P20063,https://access.rdatoolkit.org/en-US_ala-1527098c-e206-3b15-99c9-162d7c1f80b0
rdaw:P10385,https://access.rdatoolkit.org/en-US_ala-153222c7-0923-3791-bf99-36449c95e2f3
rdaa:P50629,https://access.rdatoolkit.org/en-US_ala-15371951-9050-343f-888a-72a4e8372108
rdaa:P51066,https://access.rdatoolkit.org/en-US_ala-1549736e-2bb3-3cb0-9143-579d7d08737f
rdaa:P50387,https://access.rdatoolkit.org/en-US_ala-155651ab-8665-3bf8-8fe9-ce400de1a866
rdaa:P50349,https://access.rdatoolkit.org/en-US_ala-156303e3-7c31-3c0c-9dd4-0bfaedd2eba1
rdaa:P51047,https://access.rdatoolkit.org/en-US_ala-156ccc87-0edd-3056-b71c-e96d2460ba4d
rdae:P20015,https://access.rdatoolkit.org/en-US_ala-158620eb-9272-35c3-b744-ffbcaeb6381c
rdaw:P10070,https://access.rdatoolkit.org/en-US_ala-15af0416-18c3-3daf-badf-3dfb4d374981
rdaa:P50112,https://access.rdatoolkit.org/en-US_ala-15cac736-359a-3454-887e-7fd2b8c93736
rdaa:P50702,https://access.rdatoolkit.org/en-US_ala-15da7b9a-c83d-3f36-b0c1-c5bd0f531c3a
