reg_id,uri,type,name (en),label (en),lexicalAlias (en),description (en),note (en),domain,range,hasUnconstrained,parent_property,inverseOf,status
,rdae:P20003,property,otherDistinguishingCharacteristicOfTheExpression,has other distinguishing characteristic of the expression,rdae:otherDistinguishingCharacteristicOfTheExpression,"Relates an expression to a characteristic other than content type, language of expression, or date of expression.",It serves to differentiate an expression from another expression of the same work.,rdac:C10006,,rdau:P60054,,,1
,rdae:P20004,property,dateOfCapture,has date of capture,rdae:dateOfCapture,"Relates an expression to a date or range of dates associated with the capture (i.e., recording, filming, etc.) of the content of a resource.",,rdac:C10006,,rdau:P60074,,,1
,rdae:P20005,property,award,has award,rdae:award,"Relates an expression to a formal recognition of excellence, etc., given by an award- or prize-granting body, for the content of a resource.",,rdac:C10006,,rdau:P60090,,,1
,rdae:P20006,property,languageOfExpression,has language of expression,rdae:languageOfExpression,Relates an expression to a language in which a work is expressed.,,rdac:C10006,,rdau:P60099,,,1
,rdae:P20007,property,languageOfTheContent,has language of the content,rdae:languageOfTheContent,Relates an expression to a language used to express the content of a resource.,,rdac:C10006,,rdau:P60099,,,1
,rdae:P20008,property,,,,,,,,,,,8
,rdae:P20009,property,adaptedAsMotionPictureExpression,is adapted as motion picture (expression),rdae:adaptedAsMotionPictureExpression,Relates an expression to a motion picture based on the source expression.,,rdac:C10006,rdac:C10006,rdau:P60110,rdae:P20153,rdae:P20125,1
,rdae:P20010,property,noteOnChangesInContentCharacteristics,has note on changes in content characteristics,rdae:noteOnChangesInContentCharacteristics,Relates an expression to a note on changes in content characteristics that occur in subsequent issues or parts of a resource issued in successive parts or between iterations of an integrating resource.,,rdac:C10006,,rdau:P60123,rdae:P20071,,1
,rdae:P20011,property,conductor,has conductor,rdae:conductor,"Relates an expression to a performer contributing to an expression of a musical work by leading a performing group (orchestra, chorus, opera, etc.) in a musical or dramatic presentation, etc.",,rdac:C10006,rdac:C10002,rdau:P60141,rdae:P20039,rdaa:P50070,1
,rdae:P20012,property,actor,has actor ,rdae:actor,"Relates an expression to a performer contributing to an expression of a work by acting as a cast member or player in a musical or dramatic presentation, etc.",,rdac:C10006,rdac:C10002,rdau:P60142 ,rdae:P20039,rdaa:P50071,1
,rdae:P20013,property,onScreenPresenter,has on-screen presenter,rdae:onScreenPresenter,Relates an expression to a performer contributing to an expression of a work by appearing on screen to provide contextual or background information.,An on-screen presenter may appear in nonfiction moving image materials or in introductions to fiction moving image materials.,rdac:C10006,rdac:C10002,rdau:P60143,rdae:P20039,rdaa:P50072,1
,rdae:P20014,property,dancer,has dancer,rdae:dancer,"Relates an expression to a performer contributing to an expression of a work by dancing in a musical, dramatic, etc., presentation.",,rdac:C10006,rdac:C10002,rdau:P60144,rdae:P20039,rdaa:P50073,1
,rdae:P20015,property,teacher,has teacher ,rdae:teacher,Relates an expression to a performer contributing to an expression of a work by giving instruction or providing a demonstration.,,rdac:C10006,rdac:C10002,rdau:P60145 ,rdae:P20039,rdaa:P50074,1
,rdae:P20016,property,host,has host ,rdae:host,"Relates an expression to a performer contributing to an expression of a work by leading a program (often broadcast) that includes other guests, performers, etc. (e.g., talk show host).",,rdac:C10006,rdac:C10002,rdau:P60146 ,rdae:P20039,rdaa:P50075,1
,rdae:P20017,property,moderator,has moderator,rdae:moderator,"Relates an expression to a performer contributing to an expression of a work by leading a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion.",,rdac:C10006,rdac:C10002,rdau:P60147,rdae:P20039,rdaa:P50076,1
,rdae:P20018,property,puppeteer,has puppeteer ,rdae:puppeteer,"Relates an expression to a performer contributing to an expression of a work by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",,rdac:C10006,rdac:C10002,rdau:P60148 ,rdae:P20039,rdaa:P50077,1
,rdae:P20019,property,panelist,has panelist,rdae:panelist,"Relates an expression to a performer contributing to an expression of a work by participating in a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion.",,rdac:C10006,rdac:C10002,rdau:P60149,rdae:P20039,rdaa:P50078,1
,rdae:P20020,property,instrumentalist,has instrumentalist,rdae:instrumentalist,Relates an expression to a performer contributing to an expression of a work by playing a musical instrument.,,rdac:C10006,rdac:C10002,rdau:P60150,rdae:P20039,rdaa:P50079,1
,rdae:P20021,property,commentator,has commentator,rdae:commentator,"Relates an expression to a performer contributing to an expression of a work by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,rdac:C10006,rdac:C10002,rdau:P60151,rdae:P20039,rdaa:P50080,1
,rdae:P20022,property,narrator,has narrator ,rdae:narrator,"Relates an expression to a performer contributing to an expression of a work by reading aloud or giving an account of an act, occurrence, course of events, etc.",,rdac:C10006,rdac:C10002,rdau:P60153 ,rdae:P20039,rdaa:P50081,1
,rdae:P20023,property,storyteller,has storyteller,rdae:storyteller,Relates an expression to a performer contributing to an expression of a work by relaying a creator’s original story with dramatic or theatrical interpretation.,,rdac:C10006,rdac:C10002,rdau:P60154,rdae:P20039,rdaa:P50082,1
,rdae:P20024,property,speaker,has speaker,rdae:speaker,"Relates an expression to a performer contributing to an expression of a work by speaking words, such as a lecture, speech, etc.",,rdac:C10006,rdac:C10002,rdau:P60155,rdae:P20039,rdaa:P50083,1
,rdae:P20025,property,singer,has singer ,rdae:singer,"Relates an expression to a performer contributing to an expression of a work by using his/her/their voice, with or without instrumental accompaniment, to produce music.",A singer’s performance may or may not include actual words.,rdac:C10006,rdac:C10002,rdau:P60156 ,rdae:P20039,rdaa:P50084,1
,rdae:P20026,property,composerExpression,has composer (expression) ,rdae:composerExpression,"Relates an expression to a person, family, or corporate body contributing to an expression by adding music to a work that originally lacked it, by composing new music to substitute for the original music, or by composing new music to supplement the existing music.",,rdac:C10006,rdac:C10002,rdau:P60426,rdae:P20053,rdaa:P50134,1
,rdae:P20027,property,surveyor,has surveyor,rdae:surveyor,"Relates an expression to a person, family, or corporate body contributing to an expression of a cartographic work by providing measurements or dimensional relationships for the geographic area represented.",,rdac:C10006,rdac:C10002,rdau:P60377,rdae:P20053,rdaa:P50135,1
,rdae:P20028,property,animator,has animator,rdae:animator,"Relates an expression to a person, family, or corporate body contributing to an expression of a moving image work or computer program by giving apparent movement to inanimate objects or drawings.",,rdac:C10006,rdac:C10002,rdau:P60378,rdae:P20053,rdaa:P50136,1
,rdae:P20029,property,arrangerOfMusic,has arranger of music ,rdae:arrangerOfMusic,"Relates an expression to a person, family, or corporate body contributing to an expression of a musical work by rewriting the composition for a medium of performance different from that for which the work was originally intended.","An arranger of music may also modify the work for the same medium of performance, etc., keeping the musical substance of the original composition essentially unchanged.",rdac:C10006,rdac:C10002,rdau:P60379 ,rdae:P20053,rdaa:P50137,1
,rdae:P20030,property,writerOfAddedText,has writer of added text,rdae:writerOfAddedText,"Relates an expression to a person, family, or corporate body contributing to an expression of a primarily non-textual work by providing text for the non-textual work (e.g., writing captions for photographs, descriptions of maps).",,rdac:C10006,rdac:C10002,rdau:P60380,rdae:P20046,rdaa:P50138,1
,rdae:P20031,property,stageDirector,has stage director,rdae:stageDirector,"Relates an expression to a person, family, or corporate body contributing to an expression of a stage work through the general management and supervision of a performance.",,rdac:C10006,rdac:C10002,rdau:P60399,rdae:P20053,rdaa:P50139,1
,rdae:P20032,property,interviewerExpression,has interviewer (expression) ,rdae:interviewerExpression,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by acting as an interviewer, reporter, pollster, or some other information gathering agent.",,rdac:C10006,rdac:C10002,rdau:P60430 ,rdae:P20053,rdaa:P50140,1
,rdae:P20033,property,draftsman,has draftsman ,rdae:draftsman,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc.",,rdac:C10006,rdac:C10002,rdau:P60381 ,rdae:P20053,rdaa:P50141,1
,rdae:P20034,property,transcriber,has transcriber ,rdae:transcriber,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by writing down or notating previously unwritten or unnotated content, or by changing it from one system of notation to another.",,rdac:C10006,rdac:C10002,rdau:P60382 ,rdae:P20053,rdaa:P50142,1
,rdae:P20035,property,musicalDirector,has musical director,rdae:musicalDirector,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by coordinating the activities of the composer, the sound editor, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,rdac:C10006,rdac:C10002,rdau:P60383,rdae:P20053,rdaa:P50143,1
,rdae:P20036,property,costumeDesigner,has costume designer,rdae:costumeDesigner,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by designing the costumes for a moving image production or for a musical or dramatic presentation or entertainment.",,rdac:C10006,rdac:C10002,rdau:P60384,rdae:P20053,rdaa:P50144,1
,rdae:P20037,property,translator,has translator,rdae:translator,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.",A translator may also translate linguistic content between forms of the same language from different time periods.,rdac:C10006,rdac:C10002,rdau:P60385,rdae:P20053,rdaa:P50145,1
,rdae:P20038,property,artDirector,has art director,rdae:artDirector,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by overseeing the artists and craftspeople who build the sets for moving image productions.",,rdac:C10006,rdac:C10002,rdau:P60386,rdae:P20053,rdaa:P50146,1
,rdae:P20039,property,performer,has performer,rdae:performer,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by performing music, acting, dancing, speaking, etc., often in a musical or dramatic presentation, etc.",,rdac:C10006,rdac:C10002,rdau:P60387,rdae:P20053,rdaa:P50147,1
,rdae:P20040,property,courtReporter,has court reporter ,rdae:courtReporter,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by preparing a court’s opinions for publication.",,rdac:C10006,rdac:C10002,rdau:P60388 ,rdae:P20053,rdaa:P50148,1
,rdae:P20041,property,writerOfPreface,has writer of preface,rdae:writerOfPreface,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by providing a preface to the original work.",,rdac:C10006,rdac:C10002,rdau:P60389,rdae:P20046,rdaa:P50149,1
,rdae:P20042,property,cartographerExpression,has cartographer (expression),rdae:cartographerExpression,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by providing additional cartography, or by modifying the previous cartography.",,rdac:C10006,rdac:C10002,rdau:P60425,rdae:P20053,rdaa:P50150,1
,rdae:P20043,property,choreographerExpression,has choreographer (expression),rdae:choreographerExpression,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by providing additional choreography, or by modifying the previous choreography.",,rdac:C10006,rdac:C10002,rdau:P60433,rdae:P20053,rdaa:P50151,1
,rdae:P20044,property,writerOfAddedCommentary,has writer of added commentary,rdae:writerOfAddedCommentary,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by providing an interpretation or critical explanation of the original work.",,rdac:C10006,rdac:C10002,rdau:P60390,rdae:P20046,rdaa:P50152,1
,rdae:P20045,property,writerOfIntroduction,has writer of introduction,rdae:writerOfIntroduction,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by providing an introduction to the original work.",,rdac:C10006,rdac:C10002,rdau:P60391,rdae:P20046,rdaa:P50153,1
,rdae:P20046,property,writerOfSupplementaryTextualContent,has writer of supplementary textual content,rdae:writerOfSupplementaryTextualContent,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by providing supplementary textual content (e.g., an appendix, an introduction, a preface) to the original work.",,rdac:C10006,rdac:C10002,rdau:P60392,rdae:P20053,rdaa:P50154,1
,rdae:P20047,property,intervieweeExpression,has interviewee (expression) ,rdae:intervieweeExpression,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by responding to an interviewer, usually a reporter, pollster, or some other information gathering agent.",,rdac:C10006,rdac:C10002,rdau:P60432 ,rdae:P20053,rdaa:P50155,1
,rdae:P20048,property,editor,has editor,rdae:editor,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by revising or clarifying the content, e.g., adding an introduction, notes, or other critical matter.","An editor may also prepare an expression of a work for production, publication, or distribution.",rdac:C10006,rdac:C10002,rdau:P60393,rdae:P20053,rdaa:P50156,1
,rdae:P20049,property,abridger,has abridger,rdae:abridger,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by shortening or condensing the original work but leaving the nature and content of the original work substantially unchanged.",,rdac:C10006,rdac:C10002,rdau:P60394,rdae:P20053,rdaa:P50157,1
,rdae:P20050,property,recordingEngineer,has recording engineer ,rdae:recordingEngineer,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by supervising the technical aspects of a sound or video recording session.",,rdac:C10006,rdac:C10002,rdau:P60395 ,rdae:P20053,rdaa:P50158,1
,rdae:P20051,property,illustrator,has illustrator,rdae:illustrator,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by supplementing the primary content with drawings, diagrams, photographs, etc.",,rdac:C10006,rdac:C10002,rdau:P60396,rdae:P20053,rdaa:P50159,1
,rdae:P20052,property,recordist,has recordist ,rdae:recordist,"Relates an expression to a person, family, or corporate body contributing to an expression of a work by using a recording device to capture sound and/or video during a recording session, including field recordings of natural sounds, folkloric events, music, etc.",,rdac:C10006,rdac:C10002,rdau:P60397 ,rdae:P20053,rdaa:P50160,1
,rdae:P20053,property,contributor,has contributor,rdae:contributor,"Relates an expression to a person, family, or corporate body contributing to an expression.","Contributors include editors, translators, arrangers of music, performers, etc.",rdac:C10006,rdac:C10002,rdau:P60398,,rdaa:P50161,1
,rdae:P20054,property,presenter,has presenter ,rdae:presenter,"Relates an expression to a person, family, or corporate body mentioned in an &quot;X presents&quot: credit for moving image materials and who is probably associated with production, finance, or distribution in some way.",,rdac:C10006,rdac:C10002,rdau:P60419 ,rdae:P20053,rdaa:P50180,1
,rdae:P20055,property,editorOfMovingImageWork,has editor of moving image work ,rdae:editorOfMovingImageWork,"Relates an expression to a person, family, or corporate body responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",,rdac:C10006,rdac:C10002,rdau:P60422 ,rdae:P20053,rdaa:P50183,1
,rdae:P20056,property,productionDesigner,has production designer,rdae:productionDesigner,"Relates an expression to a person, family, or corporate body responsible for designing the overall visual appearance of a moving image production.",,rdac:C10006,rdac:C10002,rdau:P60437,rdae:P20053,rdaa:P50198,1
,rdae:P20057,property,,,,,,,,,,,8
,rdae:P20058,property,minuteTaker,has minute taker,rdae:minuteTaker,"Relates an expression to a person, family, or corporate body, responsible for recording the minutes of a meeting.",,rdac:C10006,rdac:C10002,rdau:P60446,rdae:P20053,rdaa:P50212,1
,rdae:P20059,property,manifestationOfExpression,has manifestation of expression,rdae:manifestationOfExpression,Relates an expression to a physical embodiment of an expression.,,rdac:C10006,rdac:C10007,,,rdam:P30139,1
,rdae:P20060,property,adaptedAsRadioProgramExpression,is adapted as radio program (expression),rdae:adaptedAsRadioProgramExpression,Relates an expression to a radio program based on the source expression.,,rdac:C10006,rdac:C10006,rdau:P60174,rdae:P20153,rdae:P20127,1
,rdae:P20061,property,formOfTactileNotation,has form of tactile notation,rdae:formOfTactileNotation,Relates an expression to a set of characters and/or symbols used to express the content of a resource in a form that can be perceived through touch.,,rdac:C10006,,rdau:P60318,rdae:P20062,,1
,rdae:P20062,property,formOfNotation,has form of notation,rdae:formOfNotation,Relates an expression to a set of characters and/or symbols used to express the content of a resource.,,rdac:C10006,,rdau:P60319,,,1
,rdae:P20063,property,formOfNotatedMovement,has form of notated movement,rdae:formOfNotatedMovement,Relates an expression to a set of characters and/or symbols used to express the movement content of a resource.,,rdac:C10006,,rdau:P60320,rdae:P20062,,1
,rdae:P20064,property,formOfMusicalNotation,has form of musical notation,rdae:formOfMusicalNotation,Relates an expression to a set of characters and/or symbols used to express the musical content of a resource.,,rdac:C10006,,rdau:P60321,rdae:P20062,,1
,rdae:P20065,property,script,has script,rdae:script,Relates an expression to a set of characters and/or symbols used to express the written language content of a resource.,,rdac:C10006,,rdau:P60322,rdae:P20062,,1
,rdae:P20066,property,adaptedAsTelevisionProgramExpression,is adapted as television program (expression),rdae:adaptedAsTelevisionProgramExpression,Relates an expression to a television program based on the source expression.,,rdac:C10006,rdac:C10006,rdau:P60354,rdae:P20153,rdae:P20128,1
,rdae:P20067,property,adaptedAsVideoExpression,is adapted as video (expression),rdae:adaptedAsVideoExpression,Relates an expression to a video based on the source expression.,,rdac:C10006,rdac:C10006,rdau:P60361,rdae:P20153,rdae:P20134,1
,rdae:P20068,property,writerOfAddedLyrics,has writer of added lyrics,rdae:writerOfAddedLyrics,Relates an expression to a writer of words added to an expression of a musical work.,,rdac:C10006,rdac:C10002,rdau:P60371,rdae:P20030,rdaa:P50216,1
,rdae:P20069,property,summarizationOfTheContent,has summarization of the content,rdae:summarizationOfTheContent,"Relates an expression to an abstract, summary, synopsis, etc., of the content of a resource.",,rdac:C10006,,rdau:P60372,,,1
,rdae:P20070,property,voiceActor,has voice actor ,rdae:voiceActor,"Relates an expression to an actor contributing to an expression of a work by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed resources, etc.",,rdac:C10006,rdac:C10002,rdau:P60152,rdae:P20012,rdaa:P50217,1
,rdae:P20071,property,noteOnExpression,has note on expression,rdae:noteOnExpression,Relates an expression to an annotation providing additional information about content recorded as an expression attribute.,,rdac:C10006,,rdau:P60470,,,1
,rdae:P20072,property,,,,,,,,,,,8
,rdae:P20073,property,dramatizedAsExpression,is dramatized as (expression),rdae:dramatizedAsExpression,Relates an expression to an expression of a dramatic work adapted from the source expression.,,rdac:C10006,rdac:C10006,rdau:P60088,rdae:P20153,rdae:P20123,1
,rdae:P20074,property,containedInExpression,is contained in (expression),rdae:containedInExpression,Relates an expression to an expression of a larger work of which the expression is a discrete component.,,rdac:C10006,rdac:C10006,rdau:P60101,rdae:P20236,rdae:P20145,1
,rdae:P20075,property,replacedInPartByExpression,is replaced in part by (expression),rdae:replacedInPartByExpression,Relates an expression to an expression of a later work used in part in place of the earlier expression usually because the later work contains updated or new information that makes part of the earlier expression obsolete.,,rdac:C10006,rdac:C10006,rdau:P60103,rdae:P20169,rdae:P20198,1
,rdae:P20076,property,replacedByExpression,is replaced by (expression),rdae:replacedByExpression,"Relates an expression to an expression of a later work used in place of the earlier expression, usually because the later work contains updated or new information that makes the earlier expression obsolete.",,rdac:C10006,rdac:C10006,rdau:P60104,rdae:P20169,rdae:P20199,1
,rdae:P20077,property,adaptedInVerseAsExpression,is adapted in verse as (expression),rdae:adaptedInVerseAsExpression,Relates an expression to an expression of a literary composition in verse form adapted from the source expression.,,rdac:C10006,rdac:C10006,rdau:P60106,rdae:P20153,rdae:P20124,1
,rdae:P20078,property,dubbedVersionOf,is dubbed version of,rdae:dubbedVersionOf,Relates an expression to an expression of a moving image work in which the spoken dialogue has been translated into a language different from that of the original work.,,rdac:C10006,rdac:C10006,rdau:P60111,rdae:P20141,rdae:P20079,1
,rdae:P20079,property,dubbedVersion,is dubbed version,rdae:dubbedVersion,Relates an expression to an expression of a moving image work that translates the spoken dialogue of the original work into a different language.,,rdac:C10006,rdac:C10006,rdau:P60112,rdae:P20171,rdae:P20078,1
,rdae:P20080,property,cadenzaExpression,is cadenza (expression),rdae:cadenzaExpression,"Relates an expression to an expression of a musical work consisting of an ornamental passage for a soloist, added to a musical work such as a concerto, either by the same or a different composer.",,rdac:C10006,rdac:C10006,rdau:P60113,rdae:P20105,rdae:P20083,1
,rdae:P20081,property,variationsBasedOnExpression,is variations based on (expression),rdae:variationsBasedOnExpression,"Relates an expression to an expression of a musical work from which melodic, thematic, or harmonic material is taken to form a discrete theme, which is repeated one or more times with subsequent modifications.",,rdac:C10006,rdac:C10006,rdau:P60114,rdae:P20204,rdae:P20082,1
,rdae:P20082,property,modifiedByVariationAsExpression,is modified by variation as (expression),rdae:modifiedByVariationAsExpression,"Relates an expression to an expression of a musical work in which melodic, thematic, or harmonic material is taken from the source work to form a discrete theme, which is repeated one or more times with subsequent modifications.",,rdac:C10006,rdac:C10006,rdau:P60115,rdae:P20203,rdae:P20081,1
,rdae:P20083,property,cadenzaComposedForExpression,is cadenza composed for (expression),rdae:cadenzaComposedForExpression,"Relates an expression to an expression of a musical work such as a concerto for which an ornamental passage for a soloist has been composed, either by the same or a different composer.",,rdac:C10006,rdac:C10006,rdau:P60116,rdae:P20192,rdae:P20080,1
,rdae:P20084,property,librettoForExpression,is libretto for (expression),rdae:librettoForExpression,"Relates an expression to an expression of a musical work such as an opera or other work for the musical stage, or an oratorio, that uses the text of the related work.",,rdac:C10006,rdac:C10006,rdau:P60117,rdae:P20100,rdae:P20163,1
,rdae:P20085,property,incidentalMusicExpression,is incidental music (expression),rdae:incidentalMusicExpression,Relates an expression to an expression of a musical work that that provides the incidental music for a play or other spoken work for the stage.,,rdac:C10006,rdac:C10006,rdau:P60118,rdae:P20243,rdae:P20103,1
,rdae:P20086,property,remadeAsExpression,is remade as (expression),rdae:remadeAsExpression,"Relates an expression to an expression of a new motion picture, radio program, television program, or video based on an earlier work.",,rdac:C10006,rdac:C10006,rdau:P60120,rdae:P20203,rdae:P20185,1
,rdae:P20087,property,setToMusicAsExpression,is set to music as (expression),rdae:setToMusicAsExpression,"Relates an expression to an expression of a non-dramatic musical work, other than an oratorio, that uses the text of the source work.",,rdac:C10006,rdac:C10006,rdau:P60121,rdae:P20203,rdae:P20159,1
,rdae:P20088,property,adaptedAsNovelExpression,is adapted as novel (expression),rdae:adaptedAsNovelExpression,Relates an expression to an expression of a novel adapted from the source expression.,,rdac:C10006,rdac:C10006,rdau:P60138,rdae:P20153,rdae:P20126,1
,rdae:P20089,property,appendixToExpression,is appendix to (expression),rdae:appendixToExpression,"Relates an expression to an expression of a predominant work that is augmented by another work that consists of material that is not essential to the completeness of the content, such as a list of references, statistical tables, and explanatory matter; the augmenting work can either come at the end of the content, or be issued separately.",,rdac:C10006,rdac:C10006,rdau:P60253,rdae:P20192,rdae:P20118,1
,rdae:P20090,property,abstractedInExpression,is abstracted in (expression),rdae:abstractedInExpression,Relates an expression to an expression of a work (an abstracting and indexing service) that abstracts the contents of a source expression.,,rdac:C10006,rdac:C10006,rdau:P60177,rdae:P20203,rdae:P20193,1
,rdae:P20091,property,indexedInExpression,is indexed in (expression),rdae:indexedInExpression,Relates an expression to an expression of a work (an abstracting and indexing service) that indexes the contents of a source expression.,,rdac:C10006,rdac:C10006,rdau:P60178,rdae:P20203,rdae:P20194,1
,rdae:P20092,property,adaptedAsChoreographyExpression,is adapted as choreography (expression),rdae:adaptedAsChoreographyExpression,"Relates an expression to an expression of a work consisting of movement (e.g., dance) based on the source work.",,rdac:C10006,rdac:C10006,rdau:P60180,rdae:P20153,rdae:P20183,1
,rdae:P20093,property,errataExpression,is errata (expression),rdae:errataExpression,"Relates an expression to an expression of a work consisting of errors discovered after the publication of the predominant work, with their corrections.",,rdac:C10006,rdac:C10006,rdau:P60181,rdae:P20105,rdae:P20146,1
,rdae:P20094,property,illustrationsExpression,is illustrations (expression),rdae:illustrationsExpression,Relates an expression to an expression of a work consisting of pictorial content designed to explain or decorate the augmented expression.,,rdac:C10006,rdac:C10006,rdau:P60182,rdae:P20105,rdae:P20148,1
,rdae:P20095,property,adaptedAsMotionPictureScreenplayExpression,is adapted as motion picture screenplay (expression),rdae:adaptedAsMotionPictureScreenplayExpression,"Relates an expression to an expression of a work consisting of the screenplay for a motion picture, based on the source work.",,rdac:C10006,rdac:C10006,rdau:P60184,rdae:P20096,rdae:P20130,1
,rdae:P20096,property,adaptedAsScreenplayExpression,is adapted as screenplay (expression),rdae:adaptedAsScreenplayExpression,"Relates an expression to an expression of a work consisting of the screenplay for a motion picture, television program, or video, based on the source work.",,rdac:C10006,rdac:C10006,rdau:P60185,rdae:P20153,rdae:P20129,1
,rdae:P20097,property,adaptedAsTelevisionScreenplayExpression,is adapted as television screenplay (expression),rdae:adaptedAsTelevisionScreenplayExpression,"Relates an expression to an expression of a work consisting of the screenplay for a television program, based on the source work.",,rdac:C10006,rdac:C10006,rdau:P60186,rdae:P20096,rdae:P20131,1
,rdae:P20098,property,adaptedAsVideoScreenplayExpression,is adapted as video screenplay (expression),rdae:adaptedAsVideoScreenplayExpression,"Relates an expression to an expression of a work consisting of the screenplay for a video, based on the source work.",,rdac:C10006,rdac:C10006,rdau:P60187,rdae:P20096,rdae:P20132,1
,rdae:P20099,property,adaptedAsRadioScriptExpression,is adapted as radio script (expression),rdae:adaptedAsRadioScriptExpression,"Relates an expression to an expression of a work consisting of the script for a radio program, based on the source work.",,rdac:C10006,rdac:C10006,rdau:P60188,rdae:P20153,rdae:P20133,1
,rdae:P20100,property,complementedByExpression,is complemented by (expression),rdae:complementedByExpression,Relates an expression to an expression of a work paired with another expression without either expression being considered to predominate.,,rdac:C10006,rdac:C10006,rdau:P60198,rdae:P20232,rdae:P20100,1
,rdae:P20101,property,continuedInPartByExpression,is continued in part by (expression),rdae:continuedInPartByExpression,Relates an expression to an expression of a work part of whose content separated from an earlier expression to form a new expression.,,rdac:C10006,rdac:C10006,rdau:P60199,rdae:P20169,rdae:P20168,1
